Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms,DiscreteAutocorrelationAtLagJ,0,0,1,1,14,3,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\algorithms\DiscreteAutocorrelationAtLagJ.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms,LinearPredictiveCoding,6,0,2,2,54,10,0,0,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\algorithms\LinearPredictiveCoding.java,4
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HammingWindowFunction,1,0,2,1,23,4,0,1,1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\algorithms\windowing\HammingWindowFunction.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,HannWindowFunction,1,0,2,1,23,4,0,1,1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\algorithms\windowing\HannWindowFunction.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.algorithms.windowing,WindowFunction,3,0,3,2,20,5,2,0,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\algorithms\windowing\WindowFunction.java,4
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CheckAttendance,0,0,3,3,62,7,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\CheckAttendance.java,8
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,CreatingAttendanceSheets,0,0,3,3,64,18,0,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\CreatingAttendanceSheets.java,10
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,creatingIDPass,0,0,3,3,65,6,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\creatingIDPass.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,DisplayAttendance,0,0,2,2,17,3,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\DisplayAttendance.java,10
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdCheck,0,0,1,1,19,3,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\IdCheck.java,10
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassReader,0,0,2,2,23,4,0,0,-1.0,5,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\IdPassReader.java,8
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,IdPassWritter,0,0,2,2,21,2,0,0,-1.0,3,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\IdPassWritter.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,MatchResult,3,0,4,2,20,4,0,0,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\MatchResult.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,ModifyPassWord,0,0,2,2,33,3,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\ModifyPassWord.java,4
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Recognito,5,0,13,11,126,27,0,0,0.15384615384615385,1,7,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\Recognito.java,30
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Record,1,0,3,3,39,3,0,0,0.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\Record.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,Tester,2,0,3,3,73,11,0,0,0.0,2,2,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\Tester.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito,VoicePrint,6,0,7,1,49,9,0,0,0.0,2,1,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\VoicePrint.java,9
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,ChebyshevDistanceCalculator,0,0,1,1,16,4,0,1,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\distances\ChebyshevDistanceCalculator.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,DistanceCalculator,0,0,2,1,11,3,2,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\distances\DistanceCalculator.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.distances,EuclideanDistanceCalculator,0,0,1,1,16,4,0,1,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\distances\EuclideanDistanceCalculator.java,4
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.enhancements,Normalizer,0,0,1,1,21,6,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\enhancements\Normalizer.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,FeaturesExtractor,0,0,1,1,3,1,1,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\features\FeaturesExtractor.java,4
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,LpcFeaturesExtractor,3,0,2,2,32,6,0,2,0.0,0,2,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\features\LpcFeaturesExtractor.java,8
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.features,WindowedFeaturesExtractor,4,0,4,2,36,8,1,1,0.5,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\features\WindowedFeaturesExtractor.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.utils,FileHelper,0,0,2,1,44,7,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\utils\FileHelper.java,12
Voice-aided-Smart-Attendance-System,com.TeamEnigma.cognito.vad,AutocorrellatedVoiceActivityDetector,7,0,9,4,126,28,0,0,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\cognito\vad\AutocorrellatedVoiceActivityDetector.java,7
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,AfterEnroll,12,0,5,4,131,13,0,1,0.6,1,4,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\AfterEnroll.java,14
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,AfterLogin,6,0,8,7,81,8,0,1,0.875,5,6,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\AfterLogin.java,8
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Alertframe,0,0,2,1,13,2,0,1,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\Alertframe.java,5
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Attendance,12,0,5,4,138,13,0,0,0.6,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\Attendance.java,25
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Button_templete,16,14,3,3,53,3,11,0,0.6666666666666666,3,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\Button_templete.java,11
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,GiveVoice,5,0,4,3,40,4,0,1,1.0,0,4,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\GiveVoice.java,17
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,IdPassModifier,15,0,6,5,136,12,0,1,0.5,1,5,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\IdPassModifier.java,13
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,LogIn,4,0,5,4,83,9,0,1,0.8,1,3,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\LogIn.java,11
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,Main,2,0,4,4,40,4,0,1,1.0,5,2,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\Main.java,12
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,OpenTextFile,0,0,1,1,4,1,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\OpenTextFile.java,6
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,StudentLogIn,6,0,4,4,72,6,0,1,0.75,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\StudentLogIn.java,11
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherEnroll,4,0,5,5,83,9,0,1,0.8,1,3,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\TeacherEnroll.java,12
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherLogIn,5,0,4,4,79,8,0,1,1.0,1,3,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\TeacherLogIn.java,11
Voice-aided-Smart-Attendance-System,com.TeamEnigma.Gui,TeacherPanel,13,0,12,12,187,14,0,1,0.25,2,3,F:\exam\6th semester\LAB\Software Metrics\final check\tahmid\Voice-aided-Smart-Attendance-System\src\com\TeamEnigma\Gui\TeacherPanel.java,16
